6	-0.008479
7	-0.07268
8	-0.1471
9	-0.09141
10	-0.114
6	-0.05256
7	-0.2276
8	0.2032
9	-0.1226
10	0.2366
6	1644.0
7	1643.0
8	1638.0
9	1643.0
10	1641.0
6	-0.06104
7	-0.3002
8	0.0561
9	-0.214
10	0.1226
6	-0.06952
7	-0.3729
8	-0.09101
9	-0.3054
10	0.008588
6	-0.078
7	-0.4456
8	-0.2381
9	-0.3968
10	-0.1054
6	-0.08648
7	-0.5183
8	-0.3852
9	-0.4883
10	-0.2194
6	-0.09496
7	-0.591
8	-0.5323
9	-0.5797
10	-0.3334
6	-0.06104
7	-0.3002
8	0.0561
9	-0.214
10	0.1226
6	-0.06952
7	-0.3729
8	-0.09101
9	-0.3054
10	0.008588
6	-0.078
7	-0.4456
8	-0.2381
9	-0.3968
10	-0.1054
6	-0.08648
7	-0.5183
8	-0.3852
9	-0.4883
10	-0.2194
6	-0.09496
7	-0.591
8	-0.5323
9	-0.5797
10	-0.3334
6	-0.8408
7	-0.813
8	-1.44
9	-0.7615
10	-0.888
6	-1.282
7	-0.5379
8	-0.9368
9	-1.032
10	-1.28
6	-0.7031
7	-0.6691
8	-1.137
9	-0.6148
10	-1.004
6	-0.7913
7	-0.8274
8	-0.8174
9	-0.8613
10	-1.43
6	1.471
7	3.762
8	1.333
9	4.737
10	5.463
6	-1.038
7	-0.6408
8	-1.093
9	-0.6819
10	-1.486
6	-4.668
7	-1.634
8	-5.674
9	-2.277
10	-3.994
6	1.783
7	2.707
8	3.761
9	1.818
10	2.057
6	2.145
7	2.483
8	2.446
9	2.252
10	1.941
6	-3.138
7	-2.902
8	-1.59
9	-1.899
10	-1.822
6	-0.2604
7	-0.011
8	-0.4143
9	-0.02937
10	-0.5814
6	2.646
7	3.772
8	1.879
9	2.586
10	5.04
6	2.48
7	1.786
8	1.692
9	2.298
10	6.464
6	-0.3419
7	-0.2165
8	-0.229
9	-0.09234
10	-0.6668
6	1.24
7	1.493
8	1.362
9	1.292
10	1.059
6	0.05819
7	-0.1054
8	-0.4695
9	-0.2512
10	-0.1466
6	-0.7986
7	-0.495
8	-0.869
9	-0.45
10	-1.035
6	-0.2821
7	-0.2905
8	-0.5726
9	-0.2817
10	-0.02147
6	-0.3236
7	0.1803
8	-0.5217
9	0.04381
10	-0.1529
6	3.547
7	1.785
8	3.192
9	6.611
10	2.511
6	-0.8107
7	-0.7161
8	-0.4796
9	-0.9651
10	-0.983
6	1.84
7	1.949
8	4.972
9	4.648
10	1.992
6	-1.302
7	-0.7889
8	-0.4985
9	-0.9736
10	-0.7687
6	-0.1148
7	0.2277
8	0.0871
9	-0.1844
10	-0.1927
6	-1.363
7	-1.769
8	-2.179
9	-1.869
10	-1.708
6	-0.4015
7	0.06647
8	-0.1055
9	0.1443
10	-0.3193
6	-0.6094
7	0.2643
8	-0.1211
9	0.3541
10	-0.02498
6	-0.2337
7	0.1866
8	0.105
9	0.05231
10	-0.1249
6	-0.3237
7	0.1871
8	0.2052
9	0.3582
10	-0.4455
6	-0.5731
7	0.1647
8	0.04931
9	0.3069
10	-0.2836
6	4.496
7	2.299
8	2.329
9	2.13
10	1.798
6	4.793
7	2.788
8	2.719
9	3.356
10	7.49
6	1.375
7	1.869
8	1.425
9	1.219
10	1.242
6	-1.094
7	-0.2711
8	-0.515
9	-0.2951
10	-1.066
6	-1.61
7	-4.586
8	-2.275
9	-3.473
10	-2.022
6	-1.844
7	-1.235
8	-1.4
9	-1.177
10	-2.725
6	-0.4838
7	0.1655
8	-0.1322
9	-0.03242
10	0.02445
6	-1.679
7	-1.592
8	-5.615
9	-2.116
10	-1.316
6	3.436
7	2.289
8	3.355
9	3.081
10	3.778
